Feature,Decision_Tree,Random_Forest
dobra_cutane_triceps,0.5684828502712937,0.42394291714062055
insulina,0.23043467589313127,0.20428880873972996
imc,0.1260066228881095,0.1320937908606058
glicemia,0.07507585094746545,0.1408572390475446
pressao_sanguinea,0.0,0.09881724421149916
