Modelo,Dataset,accuracy,precision,recall,f1,auc
Decision Tree,train,0.8107142857142857,0.7349397590361446,0.6630434782608695,0.6971428571428572,0.8411771507863088
Decision Tree,val,0.6702127659574468,0.5,0.5483870967741935,0.5230769230769231,0.6612903225806451
Decision Tree,test,0.75,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.7307692307692308
Random Forest,train,0.7857142857142857,0.7758620689655172,0.4891304347826087,0.6,0.8621646623496761
Random Forest,val,0.6276595744680851,0.4090909090909091,0.2903225806451613,0.33962264150943394,0.7086533538146442
Random Forest,test,0.65,0.5,0.14285714285714285,0.2222222222222222,0.7252747252747253
